Overall Food Insecurity Rate,# of Food Insecure Persons Overall,SNAP Threshold,% FI ≤ SNAP Threshold,% FI > SNAP Threshold,Child Food Insecurity Rate,# of Food Insecure Children,% food insecure children in HH w/ HH incomes below 185 FPL,% food insecure children in HH w/ HH incomes above 185 FPL,Cost Per Meal,Weighted weekly $ needed by FI,Weighted Annual Food Budget Shortfall,Rural-Urban Continuum Code (2013),Rural-Urban Continuum Code (2023),Census Region,Census Division,FNS Region,Overall Food Insecurity Rate MissingFlag,Child Food Insecurity Rate MissingFlag,CountyFIPS
0.133,7770.0,1.3,0.483,0.517,0.145,2000.0,0.68,0.32,3.6,20.99,4947000.0,2.0,2.0,South,East South Central,Southeast,0,0,01001
0.118,26830.0,1.3,0.393,0.607,0.097,4760.0,0.81,0.19,4.07,23.72,19305000.0,3.0,3.0,South,East South Central,Southeast,0,0,01003
0.178,4500.0,1.3,0.587,0.413,0.298,1570.0,0.8,0.21,3.46,20.13,2747000.0,6.0,6.0,South,East South Central,Southeast,0,0,01005
0.149,3350.0,1.3,0.524,0.476,0.179,830.0,0.85,0.15,3.29,19.17,1948000.0,1.0,1.0,South,East South Central,Southeast,0,0,01007
0.137,8040.0,1.3,0.472,0.528,0.103,1400.0,1.0,0.0,3.24,18.87,4601000.0,1.0,1.0,South,East South Central,Southeast,0,0,01009
0.156,1620.0,1.3,0.656,0.344,0.299,690.0,0.78,0.22,3.86,22.48,1105000.0,6.0,6.0,South,East South Central,Southeast,0,0,01011
0.138,2640.0,1.3,0.621,0.379,0.234,1020.0,0.8,0.21,3.29,19.18,1536000.0,6.0,6.0,South,East South Central,Southeast,0,0,01013
0.156,18210.0,1.3,0.569,0.431,0.187,4760.0,0.76,0.24,3.62,21.08,11645000.0,3.0,3.0,South,East South Central,Southeast,0,0,01015
0.133,4630.0,1.3,0.582,0.418,0.218,1580.0,0.86,0.14,3.28,19.13,2686000.0,6.0,6.0,South,East South Central,Southeast,0,0,01017
0.147,3660.0,1.3,0.558,0.442,0.132,640.0,0.88,0.12,3.33,19.41,2155000.0,6.0,6.0,South,East South Central,Southeast,0,0,01019
0.154,6890.0,1.3,0.541,0.459,0.137,1480.0,0.97,0.03,3.5,20.4,4263000.0,1.0,1.0,South,East South Central,Southeast,0,0,01021
0.157,2010.0,1.3,0.595,0.405,0.246,640.0,0.8,0.2,3.36,19.59,1194000.0,9.0,9.0,South,East South Central,Southeast,0,0,01023
0.163,3810.0,1.3,0.624,0.376,0.241,1250.0,0.71,0.3,3.3,19.22,2222000.0,7.0,7.0,South,East South Central,Southeast,0,0,01025
0.15,2130.0,1.3,0.56,0.44,0.153,460.0,1.0,0.0,3.19,18.58,1201000.0,9.0,9.0,South,East South Central,Southeast,0,0,01027
0.155,2330.0,1.3,0.546,0.454,0.144,500.0,1.0,0.0,3.65,21.28,1504000.0,8.0,8.0,South,East South Central,Southeast,0,0,01029
0.146,7770.0,1.3,0.513,0.487,0.171,2170.0,0.78,0.22,3.87,22.52,5307000.0,4.0,4.0,South,East South Central,Southeast,0,0,01031
0.149,8480.0,1.3,0.451,0.549,0.167,2010.0,0.76,0.24,3.79,22.07,5677000.0,3.0,3.0,South,East South Central,Southeast,0,0,01033
0.127,1490.0,1.3,0.621,0.379,0.242,590.0,0.98,0.02,3.34,19.43,878000.0,7.0,7.0,South,East South Central,Southeast,0,0,01035
0.127,1320.0,1.3,0.462,0.538,0.197,330.0,0.84,0.16,3.56,20.74,830000.0,8.0,8.0,South,East South Central,Southeast,0,0,01037
0.159,5960.0,1.3,0.561,0.439,0.167,1390.0,0.82,0.18,3.32,19.36,3500000.0,6.0,6.0,South,East South Central,Southeast,0,0,01039
0.133,1770.0,1.3,0.548,0.452,0.159,480.0,0.84,0.16,3.9,22.69,1218000.0,8.0,8.0,South,East South Central,Southeast,0,0,01041
0.144,12570.0,1.3,0.433,0.567,0.112,2210.0,0.95,0.06,3.69,21.5,8196000.0,4.0,4.0,South,East South Central,Southeast,0,0,01043
0.161,7970.0,1.3,0.545,0.455,0.21,2400.0,0.77,0.23,3.52,20.52,4961000.0,4.0,4.0,South,East South Central,Southeast,0,0,01045
0.161,6320.0,1.3,0.681,0.319,0.32,3020.0,0.8,0.2,3.49,20.35,3900000.0,4.0,4.0,South,East South Central,Southeast,0,0,01047
0.161,11500.0,1.3,0.632,0.368,0.145,2520.0,1.0,0.0,3.25,18.95,6611000.0,6.0,6.0,South,East South Central,Southeast,0,0,01049
0.116,10140.0,1.3,0.413,0.587,0.128,2480.0,0.74,0.26,3.78,22.0,6768000.0,2.0,2.0,South,East South Central,Southeast,0,0,01051
0.171,6310.0,1.3,0.627,0.373,0.234,1960.0,0.94,0.06,3.33,19.4,3714000.0,6.0,6.0,South,East South Central,Southeast,0,0,01053
0.15,15490.0,1.3,0.534,0.466,0.174,3900.0,0.84,0.16,3.63,21.14,9935000.0,3.0,3.0,South,East South Central,Southeast,0,0,01055
0.173,2840.0,1.3,0.605,0.395,0.202,710.0,0.85,0.15,3.24,18.86,1625000.0,6.0,6.0,South,East South Central,Southeast,0,0,01057
0.146,4660.0,1.3,0.615,0.385,0.144,1170.0,1.0,0.0,3.08,17.94,2535000.0,6.0,6.0,South,East South Central,Southeast,0,0,01059
0.19,5050.0,1.3,0.636,0.364,0.204,1200.0,0.84,0.16,3.47,20.21,3096000.0,3.0,3.0,South,East South Central,Southeast,0,0,01061
0.212,1670.0,1.3,0.829,0.171,0.378,650.0,0.89,0.12,4.02,23.39,1185000.0,8.0,8.0,South,East South Central,Southeast,0,0,01063
0.164,2440.0,1.3,0.697,0.303,0.291,1010.0,0.92,0.08,4.02,23.39,1731000.0,3.0,3.0,South,East South Central,Southeast,0,0,01065
0.127,2170.0,1.3,0.51,0.49,0.167,600.0,0.69,0.31,3.85,22.41,1475000.0,3.0,3.0,South,East South Central,Southeast,0,0,01067
0.147,15600.0,1.3,0.547,0.453,0.193,4750.0,0.79,0.21,3.81,22.2,10504000.0,3.0,3.0,South,East South Central,Southeast,0,0,01069
0.166,8730.0,1.3,0.585,0.415,0.162,1800.0,0.94,0.06,3.27,19.06,5047000.0,6.0,6.0,South,East South Central,Southeast,0,0,01071
0.127,85570.0,1.3,0.512,0.488,0.19,29390.0,0.7,0.3,4.0,23.3,60482000.0,1.0,1.0,South,East South Central,Southeast,0,0,01073
0.168,2350.0,1.3,0.523,0.477,0.15,450.0,0.75,0.25,3.24,18.86,1345000.0,8.0,8.0,South,East South Central,Southeast,0,0,01075
0.137,12740.0,1.3,0.494,0.506,0.133,2460.0,0.91,0.09,3.63,21.16,8178000.0,3.0,3.0,South,East South Central,Southeast,0,0,01077
0.15,4970.0,1.3,0.571,0.429,0.157,1140.0,1.0,0.0,3.24,18.9,2849000.0,3.0,3.0,South,East South Central,Southeast,0,0,01079
0.134,23020.0,1.3,0.57,0.43,0.138,5040.0,0.86,0.14,4.07,23.71,16557000.0,3.0,3.0,South,East South Central,Southeast,0,0,01081
0.119,12080.0,1.3,0.405,0.595,0.102,2330.0,0.75,0.25,3.96,23.07,8455000.0,2.0,2.0,South,East South Central,Southeast,0,0,01083
0.162,1680.0,1.3,0.864,0.136,0.345,800.0,0.82,0.18,3.88,22.61,1152000.0,2.0,2.0,South,East South Central,Southeast,0,0,01085
0.129,2510.0,1.3,0.596,0.404,0.312,1050.0,0.66,0.34,4.01,23.38,1780000.0,6.0,6.0,South,East South Central,Southeast,0,0,01087
0.112,42710.0,1.3,0.412,0.588,0.122,10240.0,0.7,0.3,3.8,22.13,28669000.0,2.0,2.0,South,East South Central,Southeast,0,0,01089
0.154,2990.0,1.3,0.71,0.29,0.251,1100.0,0.81,0.2,3.51,20.44,1854000.0,7.0,7.0,South,East South Central,Southeast,0,0,01091
0.177,5220.0,1.3,0.577,0.423,0.175,1080.0,0.92,0.09,3.24,18.86,2987000.0,7.0,7.0,South,East South Central,Southeast,0,0,01093
0.146,14200.0,1.3,0.539,0.461,0.136,3350.0,0.93,0.07,3.42,19.92,8579000.0,4.0,4.0,South,East South Central,Southeast,0,0,01095
0.14,57880.0,1.3,0.547,0.453,0.202,19780.0,0.81,0.19,3.7,21.55,37838000.0,2.0,2.0,South,East South Central,Southeast,0,0,01097
0.16,3210.0,1.3,0.62,0.38,0.229,990.0,0.78,0.22,3.35,19.52,1901000.0,7.0,7.0,South,East South Central,Southeast,0,0,01099
0.141,32260.0,1.3,0.568,0.432,0.259,14070.0,0.7,0.3,3.83,22.29,21815000.0,2.0,2.0,South,East South Central,Southeast,0,0,01101
0.138,16910.0,1.3,0.494,0.506,0.145,4110.0,0.88,0.12,3.7,21.54,11048000.0,3.0,3.0,South,East South Central,Southeast,0,0,01103
0.2,1740.0,1.3,0.812,0.188,0.398,730.0,0.78,0.22,3.54,20.64,1089000.0,8.0,8.0,South,East South Central,Southeast,0,0,01105
0.167,3220.0,1.3,0.594,0.406,0.276,1020.0,0.76,0.24,3.63,21.15,2065000.0,3.0,3.0,South,East South Central,Southeast,0,0,01107
0.14,4660.0,1.3,0.641,0.359,0.2,1280.0,0.76,0.24,3.86,22.48,3177000.0,6.0,6.0,South,East South Central,Southeast,0,0,01109
0.145,3190.0,1.3,0.518,0.482,0.164,770.0,0.84,0.16,3.21,18.67,1807000.0,6.0,6.0,South,East South Central,Southeast,0,0,01111
0.157,9190.0,1.3,0.586,0.414,0.238,3360.0,0.72,0.28,3.53,20.58,5736000.0,2.0,2.0,South,East South Central,Southeast,0,0,01113
0.13,11720.0,1.3,0.403,0.597,0.111,2270.0,0.77,0.23,3.75,21.84,7766000.0,1.0,1.0,South,East South Central,Southeast,0,0,01115
0.095,20930.0,1.3,0.303,0.697,0.066,3400.0,0.78,0.22,4.09,23.84,15138000.0,1.0,1.0,South,East South Central,Southeast,0,0,01117
0.17,2120.0,1.3,0.736,0.264,0.346,840.0,0.7,0.3,3.52,20.51,1319000.0,8.0,8.0,South,East South Central,Southeast,0,0,01119
0.156,12770.0,1.3,0.591,0.409,0.218,3760.0,0.8,0.2,3.38,19.67,7621000.0,4.0,4.0,South,East South Central,Southeast,0,0,01121
0.148,6130.0,1.3,0.537,0.463,0.212,1820.0,0.83,0.17,3.56,20.74,3856000.0,6.0,6.0,South,East South Central,Southeast,0,0,01123
0.124,27830.0,1.3,0.515,0.485,0.16,7590.0,0.76,0.25,4.09,23.83,20114000.0,3.0,3.0,South,East South Central,Southeast,0,0,01125
0.174,11340.0,1.3,0.577,0.423,0.172,2520.0,0.85,0.15,3.4,19.83,6820000.0,1.0,1.0,South,East South Central,Southeast,0,0,01127
0.136,2110.0,1.3,0.703,0.297,0.164,530.0,0.93,0.07,3.3,19.22,1230000.0,8.0,8.0,South,East South Central,Southeast,0,0,01129
0.182,1940.0,1.3,0.746,0.254,0.361,910.0,0.86,0.14,3.41,19.87,1169000.0,9.0,9.0,South,East South Central,Southeast,0,0,01131
0.175,4130.0,1.3,0.578,0.422,0.178,860.0,0.89,0.11,3.16,18.41,2306000.0,6.0,6.0,South,East South Central,Southeast,0,0,01133
0.093,320.0,1.3,0.652,0.348,0.126,60.0,0.91,0.09,4.78,27.82,270000.0,9.0,9.0,West,Pacific,Western,0,0,02013
0.1,530.0,1.3,0.326,0.674,0.097,60.0,0.59,0.41,4.78,27.82,447000.0,9.0,9.0,West,Pacific,Western,0,0,02016
0.091,26740.0,1.3,0.482,0.518,0.114,8080.0,0.74,0.26,4.59,26.73,21681000.0,2.0,2.0,West,Pacific,Western,0,0,02020
0.205,3800.0,1.3,0.851,0.149,0.245,1600.0,1.0,0.0,5.06,29.48,3399000.0,7.0,7.0,West,Pacific,Western,0,0,02050
0.093,80.0,1.3,0.238,0.762,0.111,20.0,0.45,0.55,4.78,27.82,67000.0,9.0,9.0,West,Pacific,Western,0,0,02060
