CountyFIPS,State,County,Pop2010,OHU2010,LAPOP1_10,LAPOP05_10,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP,LALOWI1_10,LALOWI05_10,HUNVFlag,LowIncomeTracts,LATracts_half,LATracts1,LATracts10,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,LATractsVehicle_20,Urban,MedianFamilyIncome,PovertyRate,lapophalfshare,lalowihalfshare,lakidshalfshare,laseniorshalfshare,lawhitehalfshare,lablackhalfshare,laasianhalfshare,lanhopihalfshare,laaianhalfshare,laomultirhalfshare,lahisphalfshare,lahunvhalfshare,lasnaphalfshare,lapop1share,lalowi1share,lakids1share,laseniors1share,lawhite1share,lablack1share,laasian1share,lanhopi1share,laaian1share,laomultir1share,lahisp1share,lahunv1share,lasnap1share,lalowi10share,lahunv10share,lapop10share,lasnap10share,lakids10share,laseniors10share,lawhite10share,lablack10share,laasian10share,lanhopi10share,laaian10share,laomultir10share,lahisp10share,uninsured_pct,diabetes_pct,housing_insecure_pct,no_transport_pct,inactivity_pct,obesity_pct,utility_risk_pct,stores_per_10k,food_assistance_per_10k,centroid_lat,centroid_lon,households_with_snap,labor_force,under_18_total,commuters_total,no_vehicle_rate,unemployment_rate,under_18_rate,public_transit_rate,"Population, low access to store (%), 2019","Low income & low access to store (%), 2019","Households, no car & low access to store (%), 2019","SNAP households, low access to store (%), 2019","Children, low access to store (%), 2019","Seniors, low access to store (%), 2019","White, low access to store (%), 2019","Black, low access to store (%), 2019","Hispanic ethnicity, low access to store (%), 2019","Asian, low access to store (%), 2019","American Indian or Alaska Native, low access to store (%), 2019","Hawaiian or Pacific Islander, low access to store (%), 2019","Multiracial, low access to store (%), 2019",Overall Food Insecurity Rate,# of Food Insecure Persons Overall,SNAP Threshold,% FI ≤ SNAP Threshold,% FI > SNAP Threshold,Child Food Insecurity Rate,# of Food Insecure Children,% food insecure children in HH w/ HH incomes below 185 FPL,% food insecure children in HH w/ HH incomes above 185 FPL,Cost Per Meal,Weighted weekly $ needed by FI,Weighted Annual Food Budget Shortfall,Rural-Urban Continuum Code (2013),Rural-Urban Continuum Code (2023),Census Region,Census Division,FNS Region,Overall Food Insecurity Rate MissingFlag,Child Food Insecurity Rate MissingFlag,"SNAP redemptions/SNAP-authorized stores, 2023","SNAP participants pct pop, 2022","SNAP participants change pct pop, 2017-22","SNAP benefits per capita, 2022","SNAP participants pct eligible pop, 2019","SNAP online application, 2020","SNAP Combined Application Project , 2020","SNAP Broad-based Categorical Eligibility, 2020","SNAP simplified reporting, 2020","National School Lunch Program participants pct children, 2021","National School Lunch Program participants change pct children, 2017-21","Students eligible for free lunch pct, 2015","Students eligible for reduced-price lunch pct, 2015","School Breakfast Program participants pct children, 2021","School Breakfast Program participants change pct children, 2017-21","Summer Food Service Program participants pct children, 2021","Summer Food Service Program participants change pct children, 2017-21","WIC participants pct pop, 2021","WIC participants change pct pop, 2017-21","WIC infant and children participants pct infant & children, 2021","WIC infant and children participants change pct infant & children, 2016-21","WIC women participants pct women, 2021","WIC women participants change pct women, 2016-21","Child & Adult Care pct pop, 2021","Child & Adult Care change pct pop, 2012-17","FDPIR Sites, 2015","Food Banks, 2021",snap_participation_rate,snap_category,food_insecurity_risk_index,Vulnerability_Score_PCA,high_low_access,propensity_score,Food Vulnerability,vulnerability_score
1001,Alabama,Autauga County,54571,20221,18503.23,29442.47,17243.0,14613.0,6546.0,42855.0,9643.0,474.0,32.0,232.0,1335.0,1310.0,1191.0,2692.0,7105.69,10298.76,1,1,1,1,1,1,1,1,1,1,1,75759.55,15.14,90.7,87.65,91.1,90.99,90.73,90.9,88.79,59.08,92.19,90.8,90.05,85.63,86.01,68.58,66.31,68.78,69.47,67.79,70.56,64.53,46.29,70.39,70.93,66.46,65.43,64.93,4.23,1.04,9.38,1.5,2.2,1.3,5.41,3.76,0.01,0.0,0.04,0.16,0.12,9.04,13.4,12.92,9.01,27.42,40.05,8.75,1.44,0.0,-1284819.41,1253213.95,2746.0,25458.0,13205.0,24635.0,0.04,0.04,0.24,0.01,33.91,13.02,4.12,9.04,68.24,67.08,67.35,75.67,61.06,37.2,73.73,50.66,67.51,13.3,7770.0,1.3,0.48,0.52,0.14,2000.0,0.68,0.32,3.6,20.99,4947000.0,2.0,2.0,South,East South Central,Southeast,0,0,1368610.17,15.26,0.0,36.29,80.0,1.0,0.0,1.0,1.0,19.16,0.0,44.19,7.3,12.96,0.0,16.81,10.39,2.24,0.0,37.8,4.89,11.53,8.22,1.16,0.0,0.0,0.0,13.58,10-20%,0.19,0.86,1,0.97,86.03,-0.27827629647670915
1003,Alabama,Baldwin County,182265,73180,64522.14,108108.66,57843.0,41898.0,30568.0,156153.0,17105.0,1348.0,89.0,1216.0,6354.0,7992.0,2705.0,5926.0,14465.97,22144.82,1,1,1,1,1,1,1,1,1,1,0,73727.43,10.95,90.87,81.9,91.43,89.6,91.06,89.87,88.94,77.04,89.7,89.61,90.15,80.2,83.89,72.66,66.15,73.34,71.91,73.39,70.15,69.32,56.23,70.06,71.25,70.87,63.02,67.06,0.46,0.04,1.27,0.11,0.28,0.21,1.02,0.21,0.0,0.0,0.02,0.02,0.01,8.23,13.51,9.94,7.15,25.37,35.17,6.71,3.95,0.0,-1498812.72,1177816.02,6269.0,99317.0,46235.0,93141.0,0.03,0.04,0.22,0.0,25.12,7.94,2.26,5.51,73.11,71.41,73.83,62.09,71.26,59.85,79.99,56.96,73.89,11.8,26830.0,1.3,0.39,0.61,0.1,4760.0,0.81,0.19,4.07,23.72,19305000.0,3.0,3.0,South,East South Central,Southeast,0,0,4524052.77,15.26,0.0,23.94,80.0,1.0,0.0,1.0,1.0,19.16,0.0,39.45,6.35,12.96,0.0,16.81,10.39,2.24,0.0,37.8,4.89,11.53,8.22,1.16,0.0,0.0,0.0,8.57,5-10%,0.13,-0.33,1,0.67,-32.57,-0.6468647744053513
1005,Alabama,Barbour County,27457,9820,6130.6,9287.89,12073.0,6015.0,3909.0,13180.0,12875.0,107.0,29.0,114.0,1152.0,1387.0,849.0,2516.0,2864.64,4453.04,1,1,1,1,1,1,1,1,1,1,0,45025.71,29.34,86.54,85.97,85.24,86.17,89.58,84.23,76.32,44.28,93.47,84.7,87.0,82.19,87.64,69.22,69.53,67.76,66.38,72.43,66.13,63.37,30.04,67.6,66.06,68.53,64.71,70.23,8.89,2.32,16.91,4.45,2.88,2.29,7.07,8.29,0.04,0.01,0.05,1.46,1.55,13.42,20.04,20.68,14.27,35.9,46.93,15.0,2.76,0.0,-1339032.37,1380796.8,2509.0,9262.0,5307.0,8231.0,0.1,0.09,0.21,0.0,20.52,10.43,5.57,16.78,61.52,64.9,74.36,63.2,75.24,61.81,88.77,40.41,77.18,17.8,4500.0,1.3,0.59,0.41,0.3,1570.0,0.8,0.21,3.46,20.13,2747000.0,6.0,6.0,South,East South Central,Southeast,0,0,1202117.16,15.26,0.0,62.9,80.0,1.0,0.0,1.0,1.0,19.16,0.0,63.99,2.32,12.96,0.0,16.81,10.39,2.24,0.0,37.8,4.89,11.53,8.22,1.16,0.0,0.0,0.0,25.55,20-30%,0.39,1.0,0,0.71,100.19,2.2585383277655753
1007,Alabama,Bibb County,22915,7953,365.14,365.14,7968.0,5201.0,2906.0,17381.0,5047.0,22.0,13.0,64.0,388.0,406.0,410.0,849.0,102.17,102.17,1,1,0,0,0,0,0,0,1,1,0,57929.82,13.86,91.6,100.0,91.99,90.19,91.64,92.49,99.77,38.26,89.28,94.83,93.26,93.72,97.14,76.63,81.84,77.94,77.35,79.31,73.91,79.24,16.33,67.11,71.17,67.81,72.72,83.59,0.45,0.01,1.59,0.21,0.39,0.31,1.52,0.05,0.01,0.0,0.01,0.01,0.01,12.48,16.15,16.66,12.16,33.29,44.16,12.04,1.78,0.0,-1241467.93,1201723.79,1113.0,9046.0,4631.0,8167.0,0.06,0.07,0.21,0.0,1.59,0.45,3.92,8.96,80.7,77.83,83.44,53.37,65.86,75.34,81.67,42.67,74.44,14.9,3350.0,1.3,0.52,0.48,0.18,830.0,0.85,0.15,3.29,19.17,1948000.0,1.0,1.0,South,East South Central,Southeast,0,0,666731.75,15.26,0.0,39.45,80.0,1.0,0.0,1.0,1.0,19.16,0.0,52.26,9.06,12.96,0.0,16.81,10.39,2.24,0.0,37.8,4.89,11.53,8.22,1.16,0.0,0.0,0.0,13.99,10-20%,0.24,-1.17,0,0.0,-116.85,0.7335278511318243
1009,Alabama,Blount County,57322,21578,35120.39,48884.1,20795.0,14106.0,8439.0,53068.0,761.0,117.0,38.0,307.0,3031.0,4626.0,856.0,1966.0,1440.05,2038.84,1,1,1,1,0,0,0,0,1,1,0,60206.64,14.62,95.83,93.91,96.05,94.27,95.87,96.21,86.1,64.75,92.89,95.1,94.81,95.19,96.9,88.71,87.5,88.71,87.08,89.1,84.27,70.38,60.61,85.39,86.46,85.55,88.76,90.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.69,13.9,12.29,8.97,29.39,36.41,7.99,2.08,0.35,-1125239.8,1237833.84,1977.0,22680.0,13389.0,21690.0,0.04,0.03,0.23,0.0,6.81,2.51,3.49,8.36,89.14,84.31,89.51,71.48,77.86,68.93,88.42,95.23,79.69,13.7,8040.0,1.3,0.47,0.53,0.1,1400.0,1.0,0.0,3.24,18.87,4601000.0,1.0,1.0,South,East South Central,Southeast,0,0,903976.65,15.26,0.0,28.66,80.0,1.0,0.0,1.0,1.0,19.16,0.0,46.62,7.9,12.96,0.0,16.81,10.39,2.24,0.0,37.8,4.89,11.53,8.22,1.16,0.0,0.0,0.0,9.16,5-10%,0.16,-0.94,0,0.02,-94.41,-0.08843120201217364
1011,Alabama,Bullock County,10914,3745,7479.75,8838.08,4767.0,2430.0,1469.0,2507.0,7666.0,20.0,43.0,23.0,655.0,777.0,423.0,936.0,3529.5,4207.27,1,1,1,1,1,1,1,1,1,1,0,37805.5,33.8,92.24,94.33,92.22,86.98,88.14,93.57,45.05,65.07,79.19,90.99,89.91,99.31,94.42,79.8,83.48,76.75,72.1,84.24,77.89,31.7,65.07,66.06,86.13,85.39,80.82,75.82,11.61,1.73,23.69,5.01,5.13,4.46,8.58,14.74,0.01,0.0,0.07,0.28,0.19,16.2,25.2,29.55,20.72,43.9,51.7,23.28,4.88,0.0,-1318754.68,1346714.45,792.0,4493.0,2128.0,4319.0,0.11,0.04,0.21,0.0,68.53,32.34,8.91,18.71,77.02,76.12,86.95,77.41,79.05,19.47,75.06,100.0,81.02,15.6,1620.0,1.3,0.66,0.34,0.3,690.0,0.78,0.22,3.86,22.48,1105000.0,6.0,6.0,South,East South Central,Southeast,0,0,299166.68,15.26,0.0,68.55,80.0,1.0,0.0,1.0,1.0,19.16,0.0,44.19,7.3,12.96,0.0,16.81,10.39,2.24,0.0,37.8,4.89,11.53,8.22,1.16,0.0,0.0,0.0,21.15,20-30%,0.42,4.83,1,1.0,482.79,2.7298247259139927
1013,Alabama,Butler County,20947,8491,2782.42,4848.03,9473.0,5056.0,3489.0,11399.0,9095.0,177.0,7.0,60.0,209.0,191.0,520.0,1248.0,1449.17,2429.94,1,1,1,1,1,1,1,1,1,1,0,47799.86,23.09,86.24,87.99,86.83,82.98,87.74,83.47,75.48,28.42,86.58,89.75,93.18,91.94,96.59,68.96,70.99,67.97,67.39,76.12,62.0,61.41,8.37,77.1,64.56,61.32,72.12,80.81,2.66,0.26,6.37,1.03,1.29,1.24,3.56,2.7,0.02,0.0,0.03,0.06,0.05,10.94,18.67,17.94,12.49,36.38,39.98,12.99,4.03,0.0,-1371620.79,1261624.64,1078.0,8509.0,4455.0,7820.0,0.08,0.07,0.22,0.0,11.97,6.92,3.86,11.28,59.59,61.09,72.86,49.1,51.47,61.66,89.65,25.49,59.89,13.8,2640.0,1.3,0.62,0.38,0.23,1020.0,0.8,0.21,3.29,19.18,1536000.0,6.0,6.0,South,East South Central,Southeast,0,0,1093435.27,15.26,0.0,65.2,80.0,1.0,0.0,1.0,1.0,19.16,0.0,67.34,5.3,12.96,0.0,16.81,10.39,2.24,0.0,37.8,4.89,11.53,8.22,1.16,0.0,0.0,0.0,12.7,10-20%,0.28,-0.17,0,0.31,-16.51,1.2445117583786658
1015,Alabama,Calhoun County,118572,47331,57085.42,99261.27,46441.0,27126.0,16990.0,88840.0,24382.0,845.0,96.0,540.0,3869.0,3893.0,2599.0,8042.0,18257.8,31722.13,1,1,1,1,0,1,1,1,1,1,1,54822.43,19.66,87.01,86.32,87.34,85.95,86.84,85.56,86.98,84.44,85.24,83.29,83.21,82.85,87.93,61.57,61.28,61.28,61.17,62.42,57.96,62.42,61.26,61.51,55.75,56.67,58.3,63.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.3,16.01,16.35,12.16,34.03,40.0,11.81,3.14,0.0,-1136872.3,1309087.4,7691.0,52106.0,24952.0,47207.0,0.06,0.08,0.22,0.0,35.91,15.4,2.93,10.0,61.31,59.42,66.58,45.47,48.06,52.23,60.65,66.07,50.07,15.6,18210.0,1.3,0.57,0.43,0.19,4760.0,0.76,0.24,3.62,21.08,11645000.0,3.0,3.0,South,East South Central,Southeast,0,0,4777945.81,15.26,0.0,48.42,80.0,1.0,0.0,1.0,1.0,19.16,0.0,52.74,6.13,12.96,0.0,16.81,10.39,2.24,0.0,37.8,4.89,11.53,8.22,1.16,0.0,0.0,0.0,16.25,10-20%,0.28,1.02,1,1.0,102.48,0.7212083293205283
1017,Alabama,Chambers County,34215,13933,8719.25,15710.99,14986.0,7703.0,5706.0,20112.0,13257.0,168.0,10.0,69.0,599.0,536.0,989.0,1985.0,2772.44,4903.62,1,1,1,1,0,1,1,1,1,1,0,52432.94,16.64,84.5,87.26,84.37,83.22,84.68,84.81,73.18,26.2,85.32,81.1,83.07,83.03,86.63,63.61,62.83,62.34,62.55,66.93,60.02,63.84,14.18,65.93,56.18,61.33,65.31,65.05,0.85,0.08,1.99,0.35,0.34,0.42,1.43,0.51,0.0,0.0,0.01,0.03,0.04,11.53,17.84,17.17,12.01,33.91,41.19,12.09,2.08,0.0,-1224450.21,1363171.62,2088.0,15487.0,7065.0,14367.0,0.07,0.04,0.21,0.0,19.71,8.1,4.36,8.79,62.43,61.18,69.11,55.66,49.8,85.41,77.42,10.0,48.23,13.3,4630.0,1.3,0.58,0.42,0.22,1580.0,0.86,0.14,3.28,19.13,2686000.0,6.0,6.0,South,East South Central,Southeast,0,0,1298102.99,15.26,0.0,53.25,80.0,1.0,0.0,1.0,1.0,19.16,0.0,65.33,5.84,12.96,0.0,16.81,10.39,2.24,0.0,37.8,4.89,11.53,8.22,1.16,0.0,0.0,0.0,14.99,10-20%,0.24,0.05,0,0.45,4.99,0.5806714799644113
1019,Alabama,Cherokee County,25989,10626,3596.82,4067.43,10793.0,5566.0,4651.0,24081.0,1208.0,54.0,1.0,135.0,510.0,320.0,435.0,1682.0,1301.7,1449.21,1,1,1,1,0,0,0,0,0,1,0,52070.31,15.13,96.98,95.31,96.56,97.71,97.34,92.98,90.55,21.4,97.36,97.21,97.45,92.01,95.33,92.65,91.01,92.1,93.35,93.45,82.52,84.78,21.4,96.45,90.52,92.43,87.22,91.34,0.13,0.02,0.35,0.05,0.07,0.05,0.34,0.01,0.0,0.0,0.0,0.01,0.0,10.01,16.2,11.78,9.01,31.86,40.09,8.24,2.7,0.0,-1089117.27,1322200.99,1756.0,10443.0,5245.0,9865.0,0.04,0.04,0.2,0.0,13.49,5.01,3.39,14.69,92.63,92.34,93.66,72.98,94.07,85.39,96.28,100.0,91.04,14.7,3660.0,1.3,0.56,0.44,0.13,640.0,0.88,0.12,3.33,19.41,2155000.0,6.0,6.0,South,East South Central,Southeast,0,0,667739.38,15.26,0.0,33.76,80.0,1.0,0.0,1.0,1.0,19.16,0.0,53.39,9.8,12.96,0.0,16.81,10.39,2.24,0.0,37.8,4.89,11.53,8.22,1.16,0.0,0.0,0.0,16.53,10-20%,0.19,-0.1,0,0.12,-10.17,0.5385353290217272
